================================================================================
SCHEMA
--------------------------------------------------------------------------------
ENTITY TYPES: 22 types
  Abbreviation
  AlternativeName
  Application_Creation
  Application_Deposition
  Application_Mention
  Application_Usage
  Citation
  Developer
  Extension
  License
  OperatingSystem_Mention
  OperatingSystem_Usage
  PlugIn_Creation
  PlugIn_Deposition
  PlugIn_Mention
  PlugIn_Usage
  ProgrammingEnvironment_Mention
  ProgrammingEnvironment_Usage
  Release
  SoftwareCoreference_Deposition
  URL
  Version
--------------------------------------------------------------------------------
RELATION TYPES: 11 types
  Abbreviation_of(
    Abbreviation|Application_Creation|Application_Deposition|Application_Mention|Application_Usage|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|Developer|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage
  )
  AlternativeName_of(
    AlternativeName|Application_Creation|Application_Deposition|Application_Mention|Application_Usage|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|Developer|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage
  )
  Citation_of(
    Citation,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage|SoftwareCoreference_Deposition
  )
  Developer_of(
    Developer,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage
  )
  Extension_of(
    Extension,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage
  )
  License_of(
    License,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage|SoftwareCoreference_Deposition
  )
  PlugIn_of(
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage
  )
  Release_of(
    Release,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage
  )
  Specification_of(
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage
  )
  URL_of(
    URL,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|Developer|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage|SoftwareCoreference_Deposition
  )
  Version_of(
    Version,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage|SoftwareCoreference_Deposition
  )
================================================================================
train/Creation_sentences: 66 units
  PMC1283974:    862 chars, 14 entities,  5 relations
  PMC2386491:    412 chars, 10 entities,  3 relations
  PMC2688269:    845 chars,  6 entities,  1 relations
  PMC2887051:    125 chars,  3 entities,  2 relations
  PMC2921379:    809 chars, 14 entities,  5 relations
  PMC3072343:   1258 chars, 16 entities,  2 relations
  PMC3445547:   1154 chars, 13 entities,  5 relations
  PMC3589343:    173 chars,  5 entities,  3 relations
  PMC3597547:   1260 chars, 21 entities,  7 relations
  PMC4154637:    708 chars, 13 entities,  5 relations
  PMC4168975:    790 chars,  6 entities,  1 relations
  PMC4228420:    916 chars, 21 entities, 11 relations
  PMC4659587:    538 chars,  7 entities,  2 relations
  PMC4666669:    919 chars, 14 entities,  6 relations
  PMC5419444:    635 chars,  7 entities,  3 relations
  PMC5711027:    205 chars,  4 entities,  1 relations
  PMC6029841:   1067 chars, 16 entities,  6 relations
  PMC6080800:    508 chars,  9 entities,  5 relations
  PMC6122812:    633 chars, 16 entities,  6 relations
================================================================================
train/PLoS_methods: 288 units
  PMC1657052:   7820 chars,  9 entities,  6 relations
  PMC1880851:  10948 chars,  0 entities,  0 relations
  PMC2002515:  15996 chars,  4 entities,  2 relations
  PMC2134966:   6119 chars,  7 entities,  4 relations
  PMC2214811:  20403 chars,  0 entities,  0 relations
  PMC2265305:   5307 chars,  4 entities,  2 relations
  PMC2292255:   7623 chars,  3 entities,  2 relations
  PMC2323303:   8939 chars,  5 entities,  3 relations
  PMC2518622:   6576 chars,  4 entities,  3 relations
  PMC2644762:   7738 chars, 16 entities,  8 relations
  PMC2728840:   5982 chars,  2 entities,  1 relations
  PMC2730576:   6325 chars,  6 entities,  4 relations
  PMC2740825:  13756 chars,  2 entities,  1 relations
  PMC2777312:   5121 chars,  4 entities,  3 relations
  PMC2952602:   6930 chars,  3 entities,  2 relations
  PMC2953514:  20881 chars,  8 entities,  4 relations
  PMC2970551:   4719 chars,  3 entities,  2 relations
  PMC2987837:  13113 chars, 24 entities, 11 relations
  PMC3004789:   4515 chars,  4 entities,  3 relations
  PMC3022523:   6950 chars,  0 entities,  0 relations
  PMC3027618:   8950 chars,  2 entities,  1 relations
  PMC3050879:   7767 chars,  0 entities,  0 relations
  PMC3055867:  13183 chars, 12 entities,  7 relations
  PMC3071806:   6089 chars,  8 entities,  5 relations
  PMC3077394:  11166 chars,  9 entities,  6 relations
  PMC3089627:  10466 chars,  0 entities,  0 relations
  PMC3098255:   6645 chars,  0 entities,  0 relations
  PMC3120774:   8199 chars,  7 entities,  6 relations
  PMC3127803:  10733 chars,  0 entities,  0 relations
  PMC3144942:   8742 chars,  3 entities,  2 relations
  PMC3148213:   6318 chars,  0 entities,  0 relations
  PMC3156136:  11284 chars,  6 entities,  2 relations
  PMC3167846:  10022 chars,  0 entities,  0 relations
  PMC3173408:   7531 chars,  2 entities,  1 relations
  PMC3173492:  14629 chars, 14 entities,  7 relations
  PMC3176775:   8576 chars,  1 entities,  0 relations
  PMC3177840:   9846 chars,  4 entities,  1 relations
  PMC3184170:  22503 chars, 13 entities,  6 relations
  PMC3197517:   6122 chars,  0 entities,  0 relations
  PMC3210121:   3043 chars,  0 entities,  0 relations
  PMC3258258:  11082 chars,  0 entities,  0 relations
  PMC3283723:   4583 chars, 18 entities, 12 relations
  PMC3292581:   9699 chars,  7 entities,  4 relations
  PMC3293852:   5833 chars,  6 entities,  2 relations
  PMC3293908:    518 chars,  0 entities,  0 relations
  PMC3314648:   6390 chars,  4 entities,  2 relations
  PMC3338667:  14710 chars, 31 entities, 12 relations
  PMC3366939:   4500 chars,  6 entities,  4 relations
  PMC3394799:   9811 chars, 11 entities,  7 relations
  PMC3397979:  13317 chars, 11 entities,  8 relations
  PMC3402403:  11899 chars, 11 entities,  7 relations
  PMC3406004:   6772 chars,  4 entities,  2 relations
  PMC3411727:  13706 chars, 22 entities, 14 relations
  PMC3418282:   1836 chars,  0 entities,  0 relations
  PMC3420898:  11514 chars, 14 entities,  5 relations
  PMC3432100:  10364 chars,  7 entities,  4 relations
  PMC3439430:   7080 chars,  0 entities,  0 relations
  PMC3459919:   2127 chars,  6 entities,  2 relations
  PMC3485250:  17151 chars, 93 entities, 50 relations
  PMC3485322:  14812 chars,  4 entities,  2 relations
  PMC3485355:  11379 chars,  6 entities,  5 relations
  PMC3494716:  10103 chars, 20 entities, 13 relations
  PMC3509097:   2404 chars,  5 entities,  3 relations
  PMC3514170:   3281 chars,  3 entities,  2 relations
  PMC3515570:   8246 chars,  0 entities,  0 relations
  PMC3515609:  14538 chars,  8 entities,  4 relations
  PMC3520913:   7099 chars,  0 entities,  0 relations
  PMC3530491:  11729 chars,  4 entities,  2 relations
  PMC3536769:  23326 chars,  8 entities,  4 relations
  PMC3544705:  22017 chars, 21 entities, 12 relations
  PMC3544906:   1021 chars,  0 entities,  0 relations
  PMC3554644:   2854 chars,  3 entities,  2 relations
  PMC3561353:  15313 chars, 18 entities, 11 relations
  PMC3566204:  14590 chars, 88 entities, 54 relations
  PMC3589395:   4719 chars,  2 entities,  1 relations
  PMC3602039:   6160 chars,  0 entities,  0 relations
  PMC3614510:   4875 chars,  0 entities,  0 relations
  PMC3615101:   4628 chars,  0 entities,  0 relations
  PMC3629137:   5911 chars,  3 entities,  2 relations
  PMC3629193:  12363 chars,  3 entities,  2 relations
  PMC3633849:   7732 chars,  2 entities,  1 relations
  PMC3673943:   4631 chars,  0 entities,  0 relations
  PMC3679178:   1872 chars,  3 entities,  1 relations
  PMC3699512:   9250 chars,  6 entities,  3 relations
  PMC3699520:   5643 chars,  4 entities,  3 relations
  PMC3712955:  18882 chars, 21 entities, 11 relations
  PMC3723741:   9217 chars,  3 entities,  2 relations
  PMC3728110:   6164 chars,  7 entities,  5 relations
  PMC3738546:   5439 chars,  2 entities,  1 relations
  PMC3757022:   9570 chars,  0 entities,  0 relations
  PMC3760870:   3321 chars,  0 entities,  0 relations
  PMC3790745:   7008 chars,  3 entities,  2 relations
  PMC3804575:   3906 chars,  5 entities,  1 relations
  PMC3804580:   6651 chars,  0 entities,  0 relations
  PMC3818257:   9937 chars,  4 entities,  2 relations
  PMC3840028:   3610 chars,  0 entities,  0 relations
  PMC3885438:   6407 chars,  2 entities,  1 relations
  PMC3896435:  11162 chars, 17 entities, 10 relations
  PMC3900730:   5403 chars,  4 entities,  2 relations
  PMC3919787:   9541 chars,  4 entities,  2 relations
  PMC3925163:   4671 chars, 10 entities,  6 relations
  PMC3938425:   8730 chars,  0 entities,  0 relations
  PMC3944928:   7698 chars, 13 entities,  8 relations
  PMC3961335:   7768 chars,  6 entities,  4 relations
  PMC3966771:   6806 chars,  2 entities,  1 relations
  PMC3968121:  16496 chars,  7 entities,  4 relations
  PMC3974736:   5603 chars, 11 entities,  6 relations
  PMC3974756:   5956 chars,  9 entities,  6 relations
  PMC3977835:   9262 chars, 10 entities,  6 relations
  PMC4028183:  14454 chars,  1 entities,  0 relations
  PMC4057118:  10322 chars,  2 entities,  1 relations
  PMC4084914:   6397 chars,  4 entities,  2 relations
  PMC4091876:   8459 chars,  4 entities,  2 relations
  PMC4110050:   4939 chars,  2 entities,  1 relations
  PMC4111290:  18680 chars,  9 entities,  3 relations
  PMC4121144:   8229 chars,  0 entities,  0 relations
  PMC4125212:   8396 chars, 22 entities, 12 relations
  PMC4126730:   5254 chars,  0 entities,  0 relations
  PMC4153588:  18119 chars, 13 entities,  7 relations
  PMC4153678:   5242 chars,  0 entities,  0 relations
  PMC4162545:  11926 chars,  2 entities,  1 relations
  PMC4201512:   3316 chars,  0 entities,  0 relations
  PMC4205118:   8704 chars, 11 entities,  5 relations
  PMC4208840:  10913 chars,  9 entities,  4 relations
  PMC4232513:   6860 chars,  5 entities,  3 relations
  PMC4254512:   7073 chars,  3 entities,  2 relations
  PMC4256288:   5567 chars,  4 entities,  2 relations
  PMC4270440:  24095 chars,  4 entities,  1 relations
  PMC4295866:  11609 chars,  2 entities,  1 relations
  PMC4319918:   9633 chars,  7 entities,  4 relations
  PMC4332634:  14707 chars, 12 entities,  8 relations
  PMC4348483:  10184 chars,  0 entities,  0 relations
  PMC4349809:  11585 chars,  6 entities,  3 relations
  PMC4352081:   8334 chars,  8 entities,  5 relations
  PMC4356516:   9882 chars,  7 entities,  3 relations
  PMC4356596:  41967 chars, 13 entities,  4 relations
  PMC4368197:   5295 chars,  5 entities,  3 relations
  PMC4383374:   8104 chars,  8 entities,  5 relations
  PMC4390308:   2199 chars,  2 entities,  1 relations
  PMC4404057:  12794 chars,  2 entities,  1 relations
  PMC4418607:   4878 chars,  2 entities,  1 relations
  PMC4431835:   6310 chars,  0 entities,  0 relations
  PMC4440738:  13516 chars,  9 entities,  6 relations
  PMC4444114:   8166 chars,  0 entities,  0 relations
  PMC4444268:   5913 chars,  1 entities,  0 relations
  PMC4446300:   9144 chars,  6 entities,  4 relations
  PMC4451992:   7844 chars,  4 entities,  3 relations
  PMC4511233:  10500 chars,  3 entities,  1 relations
  PMC4511801:   9366 chars,  3 entities,  2 relations
  PMC4512720:   9173 chars,  8 entities,  6 relations
  PMC4556444:   5093 chars,  3 entities,  2 relations
  PMC4557994:  18285 chars, 27 entities,  9 relations
  PMC4565670:  10699 chars,  0 entities,  0 relations
  PMC4570819:   6530 chars,  2 entities,  1 relations
  PMC4575174:   6200 chars,  2 entities,  1 relations
  PMC4592204:   3032 chars,  6 entities,  4 relations
  PMC4596483:  10643 chars,  0 entities,  0 relations
  PMC4596844:   6077 chars, 11 entities,  6 relations
  PMC4608587:   8265 chars,  3 entities,  2 relations
  PMC4686123:   7012 chars,  5 entities,  1 relations
  PMC4687920:   5454 chars,  5 entities,  4 relations
  PMC4690612:   7594 chars,  2 entities,  1 relations
  PMC4701185:   8910 chars,  3 entities,  2 relations
  PMC4713201:   7424 chars,  2 entities,  1 relations
  PMC4732812:   4797 chars,  3 entities,  2 relations
  PMC4742252:   6538 chars,  3 entities,  1 relations
  PMC4744008:  10342 chars,  2 entities,  1 relations
  PMC4744017:  24057 chars, 15 entities,  6 relations
  PMC4752233:   3891 chars,  0 entities,  0 relations
  PMC4765851:   7798 chars,  6 entities,  5 relations
  PMC4780822:   6138 chars,  0 entities,  0 relations
  PMC4790888:  13179 chars,  2 entities,  1 relations
  PMC4811411:   7987 chars,  3 entities,  1 relations
  PMC4824409:  10668 chars,  0 entities,  0 relations
  PMC4833478:   8939 chars,  8 entities,  3 relations
  PMC4839625:  18588 chars,  9 entities,  4 relations
  PMC4839773:   7215 chars,  8 entities,  6 relations
  PMC4861270:   4820 chars,  4 entities,  3 relations
  PMC4862691:   4089 chars,  3 entities,  2 relations
  PMC4873040:   4250 chars,  4 entities,  2 relations
  PMC4887034:  16093 chars, 18 entities, 10 relations
  PMC4889058:   3186 chars,  0 entities,  0 relations
  PMC4892527:  13272 chars,  0 entities,  0 relations
  PMC4892632:   3742 chars,  0 entities,  0 relations
  PMC4896475:   8483 chars,  4 entities,  2 relations
  PMC4917169:   2903 chars,  4 entities,  2 relations
  PMC4934862:  14716 chars,  4 entities,  3 relations
  PMC4956158:   3492 chars,  4 entities,  2 relations
  PMC4978394:   5883 chars,  3 entities,  2 relations
  PMC4981308:  10902 chars,  2 entities,  1 relations
  PMC4990342:   4420 chars,  4 entities,  2 relations
  PMC4993492:   9059 chars,  9 entities,  5 relations
  PMC5001718:  13391 chars, 16 entities,  8 relations
  PMC5061368:   7861 chars,  5 entities,  4 relations
  PMC5065233:   7741 chars,  0 entities,  0 relations
  PMC5070780:  10072 chars, 40 entities, 25 relations
  PMC5077101:   8921 chars,  6 entities,  4 relations
  PMC5102347:  10192 chars,  3 entities,  2 relations
  PMC5104352:  11758 chars, 30 entities, 12 relations
  PMC5127506:   8254 chars,  4 entities,  2 relations
  PMC5158051:  11274 chars,  2 entities,  1 relations
  PMC5161506:   7669 chars,  3 entities,  2 relations
  PMC5172524:   2392 chars,  6 entities,  4 relations
  PMC5189946:   8281 chars,  7 entities,  1 relations
  PMC5201279:   7858 chars,  5 entities,  3 relations
  PMC5249244:   3463 chars, 10 entities,  6 relations
  PMC5283673:   6232 chars,  4 entities,  3 relations
  PMC5289417:  11905 chars,  4 entities,  2 relations
  PMC5312924:   9612 chars,  4 entities,  2 relations
  PMC5332018:   6342 chars,  0 entities,  0 relations
  PMC5336195:   6034 chars,  7 entities,  4 relations
  PMC5336253:   2709 chars,  0 entities,  0 relations
  PMC5342302:  13136 chars,  0 entities,  0 relations
  PMC5354243:   3866 chars,  0 entities,  0 relations
  PMC5354285:   6826 chars,  0 entities,  0 relations
  PMC5386258:  15489 chars, 14 entities, 10 relations
  PMC5388469:  17292 chars,  6 entities,  4 relations
  PMC5391052:   8305 chars,  3 entities,  2 relations
  PMC5398494:  14183 chars,  3 entities,  1 relations
  PMC5425029:  16684 chars, 11 entities,  6 relations
  PMC5436697:  10217 chars, 19 entities, 11 relations
  PMC5438187:  12877 chars, 19 entities, 11 relations
  PMC5448741:  10057 chars, 11 entities,  7 relations
  PMC5453566:   6754 chars, 10 entities,  7 relations
  PMC5507488:  10112 chars,  0 entities,  0 relations
  PMC5526549:   8197 chars,  2 entities,  1 relations
  PMC5536349:   4879 chars,  3 entities,  2 relations
  PMC5540584:  31193 chars, 16 entities, 12 relations
  PMC5542610:  10934 chars, 49 entities, 27 relations
