================================================================================
sample: 50 units
  10471277: 2232 chars,  43 entity mentions, 20 relations
  23411246:  843 chars,  29 entity mentions,  4 relations
  23535394: 1588 chars,  12 entity mentions,  2 relations
  23178380: 1660 chars,  18 entity mentions,  1 relations
  23290487:  949 chars,  12 entity mentions,  4 relations
   2571203: 1310 chars,  19 entity mentions,  7 relations
   9732824: 1916 chars,  13 entity mentions,  6 relations
  23530595: 1296 chars,   2 entity mentions,  0 relations
  23589476:  775 chars,   1 entity mentions,  0 relations
  23534412: 1611 chars,  11 entity mentions,  0 relations
  11972287: 1161 chars,  15 entity mentions,  4 relations
  23375813:  813 chars,  10 entity mentions,  3 relations
  23434931: 1354 chars,  19 entity mentions,  2 relations
  22931530:  731 chars,   9 entity mentions,  1 relations
  23600432: 1492 chars,  16 entity mentions,  2 relations
  23258671:  875 chars,   8 entity mentions,  0 relations
  23531488: 1884 chars,  20 entity mentions,  6 relations
  23060524: 1700 chars,  21 entity mentions,  0 relations
  14530799: 2380 chars,  34 entity mentions, 11 relations
  23564921: 1890 chars,  18 entity mentions,  3 relations
  16480505: 1201 chars,  15 entity mentions, 11 relations
  19836445: 3716 chars,  42 entity mentions,  4 relations
  23354070: 1347 chars,  14 entity mentions,  6 relations
  23580446: 2037 chars,  36 entity mentions,  7 relations
  23495691:  957 chars,   9 entity mentions,  0 relations
  22634361: 1462 chars,  22 entity mentions,  6 relations
  22921426: 1527 chars,  28 entity mentions,  0 relations
  17979301: 1966 chars,  60 entity mentions, 59 relations
  23411208: 1152 chars,  18 entity mentions,  0 relations
  23383423: 1425 chars,  16 entity mentions,  1 relations
  23583806: 1570 chars,  19 entity mentions,  2 relations
  18058577:  488 chars,   6 entity mentions,  0 relations
  17567713: 1828 chars,  20 entity mentions,  5 relations
  23288052: 1716 chars,  13 entity mentions,  0 relations
  15974585: 1019 chars,  19 entity mentions,  4 relations
  23221006: 1867 chars,  29 entity mentions,  8 relations
  23358258:  619 chars,  12 entity mentions,  4 relations
  15224175: 2344 chars,  64 entity mentions,  8 relations
  11692072: 1088 chars,  17 entity mentions,  1 relations
  23318471: 1998 chars,  44 entity mentions,  9 relations
  12560076: 1101 chars,  28 entity mentions,  6 relations
  17148442: 1214 chars,  33 entity mentions,  2 relations
   3058238: 1017 chars,  24 entity mentions,  0 relations
  23524316: 1594 chars,  18 entity mentions,  0 relations
  12668276: 1546 chars,  26 entity mentions,  0 relations
  17161452: 1315 chars,  24 entity mentions,  8 relations
  21631396: 1763 chars,  37 entity mentions, 16 relations
  15932636: 2347 chars,  38 entity mentions,  9 relations
  12213829: 2039 chars,  55 entity mentions, 14 relations
  15953344: 1534 chars,  23 entity mentions,  9 relations
  23087261: 1632 chars,  25 entity mentions,  0 relations
  22445601: 1673 chars,  30 entity mentions,  7 relations
   6227474: 2067 chars,  33 entity mentions,  6 relations
  16809928: 1058 chars,  24 entity mentions,  4 relations
  23373869: 1725 chars,   4 entity mentions,  0 relations
  23360412: 1798 chars,  27 entity mentions,  1 relations
   3345199: 2098 chars,  35 entity mentions, 11 relations
  11278845: 1594 chars,  45 entity mentions, 20 relations
  23297831: 1422 chars,  10 entity mentions,  0 relations
  14613270: 2885 chars,  47 entity mentions,  0 relations
  23500772: 1407 chars,  25 entity mentions,  6 relations
  15078100: 1734 chars,  24 entity mentions,  9 relations
  23531031: 2263 chars,  24 entity mentions,  2 relations
  23165754: 1756 chars,  21 entity mentions,  0 relations
  23474645: 1100 chars,  15 entity mentions,  0 relations
  23393220: 1902 chars,  50 entity mentions, 20 relations
  23256472: 1007 chars,  11 entity mentions,  1 relations
  14505791: 1433 chars,  21 entity mentions,  7 relations
  23414235:  775 chars,  16 entity mentions,  2 relations
  15561973: 1954 chars,  42 entity mentions,  2 relations
  15866288: 1837 chars,  18 entity mentions,  7 relations
  20427668: 1727 chars,  18 entity mentions,  8 relations
   3299141: 2586 chars,  36 entity mentions,  0 relations
  25136065: 1931 chars,  25 entity mentions,  0 relations
  23177256: 1003 chars,  19 entity mentions, 15 relations
  17603755: 1954 chars,   8 entity mentions,  1 relations
  23270965: 1595 chars,  25 entity mentions, 11 relations
   9633680: 1256 chars,  27 entity mentions,  8 relations
  16636450: 1101 chars,  22 entity mentions,  1 relations
  23199882:  818 chars,   5 entity mentions,  0 relations
  23194532: 1256 chars,  17 entity mentions,  0 relations
  11732752: 1759 chars,  29 entity mentions, 10 relations
  23522835:  888 chars,  16 entity mentions,  0 relations
  23231502: 1671 chars,  33 entity mentions, 14 relations
  16484281: 2013 chars,  32 entity mentions, 10 relations
  23274887: 1479 chars,  22 entity mentions,  0 relations
  23221868: 1951 chars,  29 entity mentions,  1 relations
  23298258: 1840 chars,  27 entity mentions,  2 relations
  12699699:  878 chars,  20 entity mentions,  5 relations
  23435367: 1094 chars,  26 entity mentions, 10 relations
  10752671: 1359 chars,   9 entity mentions,  2 relations
  22874922: 1064 chars,  13 entity mentions,  0 relations
  23542126: 1402 chars,   9 entity mentions,  0 relations
  23439561: 1820 chars,  57 entity mentions,  6 relations
  23318726: 1508 chars,  34 entity mentions, 12 relations
   7986344: 1078 chars,  23 entity mentions, 22 relations
  23592839: 1367 chars,  13 entity mentions,  0 relations
  23264615: 1955 chars,  43 entity mentions, 11 relations
   7944828: 1985 chars,  47 entity mentions, 17 relations
  23229512: 1178 chars,  27 entity mentions, 10 relations
  23142538: 1041 chars,  19 entity mentions,  5 relations
  20624440: 1519 chars,  20 entity mentions,  6 relations
  19337422: 1389 chars,  18 entity mentions,  5 relations
  11156594: 2141 chars,  35 entity mentions,  8 relations
  23277230: 1936 chars,  24 entity mentions,  6 relations
   6872937: 2645 chars,  40 entity mentions,  3 relations
  23423570: 1538 chars,  18 entity mentions,  7 relations
  23313794: 1437 chars,  36 entity mentions, 18 relations
  23542578: 1003 chars,  15 entity mentions,  4 relations
  12003347: 1571 chars,  30 entity mentions,  9 relations
   1375507: 1893 chars,  34 entity mentions, 16 relations
  11071707: 1633 chars,  34 entity mentions,  0 relations
  15526004: 1372 chars,  15 entity mentions,  0 relations
  23360475: 1681 chars,   7 entity mentions,  0 relations
  23179966: 2015 chars,  39 entity mentions,  0 relations
  12955294: 1686 chars,  19 entity mentions,  0 relations
  23085085: 1260 chars,  22 entity mentions,  2 relations
  15132128: 1853 chars,  45 entity mentions, 14 relations
   8667211: 1493 chars,  33 entity mentions, 11 relations
  23360232: 1394 chars,  11 entity mentions,  0 relations
  17651117: 1392 chars,  18 entity mentions,  0 relations
  12047490: 1856 chars,  26 entity mentions,  2 relations
  12826271: 1092 chars,  12 entity mentions,  2 relations
  23563205:  888 chars,  11 entity mentions,  2 relations
  23305850: 2493 chars,  34 entity mentions, 16 relations
  19683471: 1046 chars,  30 entity mentions,  5 relations
  10446934: 2608 chars,  51 entity mentions, 12 relations
  12123767: 1699 chars,  20 entity mentions,  3 relations
  23219339: 1468 chars,  24 entity mentions,  5 relations
  23454300:  867 chars,   6 entity mentions,  0 relations
  23146691: 1267 chars,  15 entity mentions,  1 relations
  20618322: 1317 chars,  13 entity mentions,  0 relations
  19228178: 1303 chars,  17 entity mentions,  6 relations
  15843826: 1497 chars,  20 entity mentions,  4 relations
   9231746: 1384 chars,  29 entity mentions, 13 relations
  23481176: 1732 chars,  12 entity mentions,  0 relations
  23260346: 1164 chars,  18 entity mentions,  3 relations
  14725487: 2012 chars,  22 entity mentions,  2 relations
  23402364: 1672 chars,  39 entity mentions,  1 relations
  11319232: 1836 chars,  38 entity mentions, 12 relations
  11585753: 1253 chars,  26 entity mentions, 14 relations
  23537582: 1776 chars,  19 entity mentions,  0 relations
  19068776: 1377 chars,  21 entity mentions,  2 relations
  12373423: 2287 chars,  39 entity mentions,  9 relations
  12183670: 2157 chars,  50 entity mentions,  7 relations
  23085435: 1304 chars,  34 entity mentions, 34 relations
  23600800: 1572 chars,  35 entity mentions,  2 relations
  20104269: 1283 chars,  31 entity mentions, 17 relations
  12213053: 1093 chars,  36 entity mentions, 35 relations
  16547651: 1308 chars,  37 entity mentions,  4 relations
  23579178: 1911 chars,  29 entity mentions,  2 relations
  23423713: 1756 chars,  41 entity mentions, 30 relations
   8600944: 1875 chars,  43 entity mentions, 25 relations
  23519392: 1577 chars,  23 entity mentions,  7 relations
  23419036: 1111 chars,   8 entity mentions,  0 relations
  22718571: 1087 chars,  20 entity mentions,  7 relations
  10443304: 1647 chars,  11 entity mentions,  0 relations
  23261645: 1499 chars,  19 entity mentions,  6 relations
  15732037: 2095 chars,  34 entity mentions, 11 relations
  17588737: 1846 chars,  30 entity mentions,  1 relations
  17499824: 1322 chars,  36 entity mentions, 12 relations
  17308037: 1943 chars,  59 entity mentions, 29 relations
  23193186: 1565 chars,  12 entity mentions,  0 relations
  19389876: 1287 chars,  20 entity mentions,  4 relations
  23606523: 1508 chars,  17 entity mentions,  0 relations
  23414340: 2165 chars,  54 entity mentions,  7 relations
  10480573: 1205 chars,  14 entity mentions,  2 relations
  19708854: 1392 chars,  11 entity mentions,  0 relations
  16757355: 2021 chars,  43 entity mentions, 34 relations
  17062721: 1160 chars,  18 entity mentions,  2 relations
  23619386: 1513 chars,  25 entity mentions, 13 relations
  16293341: 1067 chars,  15 entity mentions,  2 relations
  14507109: 2595 chars,  54 entity mentions,  9 relations
  23019274: 1816 chars,  20 entity mentions,  0 relations
  17597612: 2036 chars,  16 entity mentions,  2 relations
  12957216: 2026 chars,  21 entity mentions,  3 relations
  23616352:  537 chars,  13 entity mentions,  3 relations
  23291559: 1298 chars,  27 entity mentions,  7 relations
  23294255: 1174 chars,  12 entity mentions,  0 relations
  17016711: 1685 chars,  22 entity mentions,  6 relations
  23623751: 1915 chars,  28 entity mentions, 11 relations
  22749842: 1877 chars,  14 entity mentions,  0 relations
  10340919: 2130 chars,  38 entity mentions, 11 relations
   3124610: 1254 chars,  19 entity mentions,  0 relations
  23377618: 1567 chars,  14 entity mentions,  0 relations
  23454149: 1452 chars,  24 entity mentions, 11 relations
  23122096:  902 chars,  10 entity mentions,  0 relations
  16365052: 1703 chars,  16 entity mentions,  2 relations
  23571107: 2144 chars,  43 entity mentions,  0 relations
  10690753: 1545 chars,  38 entity mentions, 17 relations
  23532634: 1864 chars,  34 entity mentions,  4 relations
  10999950: 2141 chars,  52 entity mentions, 16 relations
  10847421: 1263 chars,   8 entity mentions,  0 relations
  23456735: 1599 chars,  15 entity mentions,  0 relations
  22532499: 1221 chars,  13 entity mentions,  1 relations
  23313557: 1832 chars,  42 entity mentions,  5 relations
  23542147: 2799 chars,  35 entity mentions,  1 relations
  23601753: 2070 chars,  29 entity mentions,  3 relations
  23621521: 1134 chars,   2 entity mentions,  0 relations
   7959748:  735 chars,  14 entity mentions,  2 relations
  23085095: 1579 chars,  21 entity mentions,  3 relations
  23230273: 1632 chars,  22 entity mentions,  2 relations
  10947967: 1686 chars,  21 entity mentions,  6 relations
  23530018: 1736 chars,  38 entity mentions, 17 relations
  23290724: 1081 chars,  15 entity mentions,  8 relations
  23153456: 1492 chars,  38 entity mentions,  5 relations
  12244038: 2336 chars,  68 entity mentions, 31 relations
  17692748: 1955 chars,  17 entity mentions,  4 relations
  15465035: 1129 chars,  30 entity mentions, 15 relations
  11430635: 1879 chars,  40 entity mentions, 21 relations
  12871155: 1267 chars,  22 entity mentions, 26 relations
  23594301: 1897 chars,   6 entity mentions,  0 relations
  23643730: 1660 chars,  28 entity mentions,  8 relations
  23537942: 1147 chars,   8 entity mentions,  0 relations
  23276627: 1577 chars,  16 entity mentions,  0 relations
  23380568: 1522 chars,  13 entity mentions,  0 relations
   6146346: 1660 chars,  13 entity mentions,  2 relations
  19370562: 4519 chars,  20 entity mentions,  2 relations
  12881227: 1612 chars,  43 entity mentions, 16 relations
  23418368: 1939 chars,  17 entity mentions,  0 relations
  17561836: 1738 chars,  21 entity mentions,  0 relations
  23207322:  915 chars,   8 entity mentions,  0 relations
  23608109: 1099 chars,  14 entity mentions,  2 relations
  23249624: 2016 chars,  36 entity mentions,  8 relations
  23330542: 1538 chars,  20 entity mentions,  3 relations
  11160515: 2715 chars,  47 entity mentions,  5 relations
  23403203: 1796 chars,  29 entity mentions, 10 relations
  10406837: 1874 chars,  24 entity mentions,  7 relations
  23262271:  748 chars,   8 entity mentions,  3 relations
  17216302:  866 chars,   8 entity mentions,  0 relations
  10670413: 1655 chars,  55 entity mentions, 27 relations
  11936838: 1694 chars,  21 entity mentions,  6 relations
  23422872:  525 chars,   3 entity mentions,  1 relations
  23238783: 2025 chars,  25 entity mentions,  6 relations
   8819507: 1758 chars,  33 entity mentions,  8 relations
  23199998: 1108 chars,   5 entity mentions,  0 relations
  17192395: 1577 chars,  19 entity mentions,  2 relations
  10826417: 1548 chars,   8 entity mentions,  2 relations
  23100158: 1187 chars,  21 entity mentions, 11 relations
  12517247: 1799 chars,  33 entity mentions,  4 relations
  17040106: 2293 chars,  42 entity mentions, 24 relations
  23485065: 1032 chars,  12 entity mentions,  0 relations
   7837275: 2320 chars,  38 entity mentions,  5 relations
  11103886: 1868 chars,  20 entity mentions,  0 relations
  11264758: 1643 chars,  16 entity mentions,  6 relations
  23122081: 1331 chars,   4 entity mentions,  0 relations
  23587649: 1741 chars,  28 entity mentions,  0 relations
  16291873: 1900 chars,  22 entity mentions, 10 relations
  23334864: 1317 chars,  16 entity mentions,  0 relations
   9509999:  986 chars,  17 entity mentions,  0 relations
  23314331: 1404 chars,  19 entity mentions,  0 relations
  17390078: 1739 chars,  32 entity mentions, 10 relations
   9722550: 1757 chars,  23 entity mentions,  7 relations
  23339678: 1535 chars,  10 entity mentions,  0 relations
  22776694: 1748 chars,   4 entity mentions,  0 relations
  23500382: 1676 chars,  33 entity mentions, 18 relations
  23337607: 1783 chars,  20 entity mentions,  0 relations
  23071106: 2058 chars,  56 entity mentions, 22 relations
  22972179: 1611 chars,  30 entity mentions,  8 relations
  17919259: 1939 chars,  22 entity mentions,  2 relations
   1977506: 2706 chars,  31 entity mentions,  7 relations
  23567961:  897 chars,  15 entity mentions,  0 relations
  23639738: 1094 chars,  21 entity mentions,  4 relations
  23410126:  946 chars,  13 entity mentions,  0 relations
  17479245: 2061 chars,  29 entity mentions,  4 relations
  23552101: 1767 chars,  24 entity mentions, 13 relations
  23453039: 1791 chars,  31 entity mentions,  4 relations
  19428322: 1316 chars,  17 entity mentions,  2 relations
  15082029: 1665 chars,   8 entity mentions,  0 relations
  16199241: 1891 chars,  16 entity mentions,  0 relations
  17391279: 1240 chars,  28 entity mentions,  4 relations
  23386702: 2067 chars,  53 entity mentions, 37 relations
  23274771: 1365 chars,  21 entity mentions,  2 relations
  23523949: 1729 chars,  44 entity mentions, 14 relations
  23601399: 1162 chars,   5 entity mentions,  0 relations
  23415228: 1210 chars,  13 entity mentions,  1 relations
  11730729: 1814 chars,  29 entity mentions,  7 relations
  23247009: 1136 chars,  20 entity mentions, 11 relations
  23459167: 1965 chars,  39 entity mentions,  6 relations
  23530006: 1268 chars,   7 entity mentions,  0 relations
   9480923: 1905 chars,  41 entity mentions, 13 relations
  16730121:  782 chars,  18 entity mentions,  8 relations
  23514378: 1636 chars,  11 entity mentions,  1 relations
  23410005: 1173 chars,  14 entity mentions,  7 relations
  23265893: 1740 chars,  29 entity mentions,  0 relations
  23584857: 1868 chars,  13 entity mentions,  0 relations
  23567959: 1517 chars,   8 entity mentions,  0 relations
  23266719: 1676 chars,  23 entity mentions,  0 relations
  23509039:  979 chars,   6 entity mentions,  0 relations
  16978033: 2850 chars,  34 entity mentions,  7 relations
  15686475: 1493 chars,  49 entity mentions,  7 relations
  17488480: 1799 chars,  57 entity mentions, 37 relations
  17618628:  768 chars,  10 entity mentions,  0 relations
  23624810: 1974 chars,  20 entity mentions,  0 relations
  23631499: 1813 chars,  15 entity mentions,  4 relations
  23578607: 1175 chars,  32 entity mentions,  4 relations
  23115325: 1737 chars,  40 entity mentions,  5 relations
  17497253: 1264 chars,  13 entity mentions,  6 relations
   6374639: 2029 chars,  25 entity mentions,  4 relations
  23104244: 1579 chars,  31 entity mentions,  0 relations
  14600253: 1959 chars,  28 entity mentions, 12 relations
  16674097: 1679 chars,   8 entity mentions,  0 relations
  23625750: 1775 chars,  27 entity mentions,  5 relations
  23350847:  395 chars,   5 entity mentions,  2 relations
  23354393: 1558 chars,  21 entity mentions,  0 relations
  18559268: 1104 chars,  13 entity mentions,  6 relations
  23182954: 1936 chars,  26 entity mentions,  5 relations
  18465538: 1358 chars,  13 entity mentions,  3 relations
  15110853: 1327 chars,  19 entity mentions,  8 relations
  12067524: 1691 chars,  30 entity mentions, 11 relations
  23421930:  868 chars,  12 entity mentions,  0 relations
  23541436: 1405 chars,  28 entity mentions,  6 relations
  11969359: 2099 chars,  44 entity mentions, 21 relations
  23538162: 1451 chars,  31 entity mentions, 16 relations
  23232123: 1138 chars,  11 entity mentions,  0 relations
   1386491: 1216 chars,  17 entity mentions,  5 relations
  23357976: 1185 chars,  22 entity mentions,  5 relations
  14680444: 1076 chars,   8 entity mentions,  2 relations
  22989705: 1760 chars,  32 entity mentions,  9 relations
  20801130: 1860 chars,  42 entity mentions, 19 relations
  17327465: 1820 chars,  29 entity mentions,  3 relations
  23563356: 1683 chars,  24 entity mentions,  1 relations
  23614367: 1674 chars,  20 entity mentions,  0 relations
  23401474: 1658 chars,  23 entity mentions,  0 relations
  16546990: 2023 chars,  41 entity mentions, 15 relations
  10530931:  822 chars,  11 entity mentions,  4 relations
  23266505: 1507 chars,  38 entity mentions, 18 relations
   2855105: 1677 chars,  44 entity mentions, 11 relations
   8103526: 1157 chars,  12 entity mentions,  1 relations
  23116643: 1641 chars,  31 entity mentions,  8 relations
   9399012: 2890 chars,  27 entity mentions,  8 relations
  23411272: 1178 chars,  13 entity mentions,  1 relations
  17210712: 2123 chars,  58 entity mentions,  7 relations
  23259841: 1073 chars,   5 entity mentions,  0 relations
  10225363: 1289 chars,  27 entity mentions, 12 relations
  23349485: 1140 chars,  21 entity mentions,  0 relations
  16516814: 1566 chars,  46 entity mentions, 25 relations
  21272013:  996 chars,  16 entity mentions, 10 relations
  23410798:  967 chars,  19 entity mentions,  2 relations
  10200320: 2022 chars,  36 entity mentions, 16 relations
   3828735: 1693 chars,  24 entity mentions,  4 relations
  12093311: 2362 chars,  23 entity mentions,  6 relations
   8799556: 3459 chars,  60 entity mentions, 28 relations
   8925876: 1197 chars,  22 entity mentions, 15 relations
