================================================================================
train: 306 units
  000f90380d768a85e2316225854fc377c079b5c4:  6507 words, 328 sentences, 400 entity mentions,  4 relations
  0c36c988acc9ec239953ff1b3931799af388ef70:  2479 words, 106 sentences, 186 entity mentions,  3 relations
  0c769c19d894e0dbd6eb314781dc1db3c626df57:  5463 words, 256 sentences, 308 entity mentions,  2 relations
  0c9ae806059196007938f24d0327a4237ed6adf5:  5782 words, 244 sentences, 324 entity mentions,  1 relations
  0ca2bd0e40a8f0a57665535ae1c31561370ad183:  6832 words, 292 sentences, 322 entity mentions,  4 relations
  0cb8f50580cc69191144bd503e268451ce966fa6:  7805 words, 359 sentences, 380 entity mentions,  1 relations
  0cfdcf2a0e345cdf7e680c30d136fdedb0eccb28:  4606 words, 260 sentences, 267 entity mentions,  2 relations
  0d0101e65e52ae0cec38bcd13c6a9d631979c577:  4686 words, 257 sentences, 336 entity mentions,  1 relations
  0d24a0695c9fc669e643bad51d4e14f056329dec:  6416 words, 297 sentences, 396 entity mentions,  2 relations
  0d467adaf936b112f570970c5210bdb3c626a717:  6117 words, 369 sentences, 403 entity mentions,  5 relations
  0d5fa5be4bfe085de8f88dbee1c3b2a6e5ab9ee2:  4852 words, 308 sentences, 336 entity mentions,  7 relations
  0dab72129b4458d9e3dbf1f109848c2d6d7af8a8:  5989 words, 257 sentences, 258 entity mentions,  9 relations
  0dcde9f2c5149f0e4c806db7b4cc4915bed077da:  5095 words, 204 sentences, 266 entity mentions,  3 relations
  0e37c8f19eefeb0c20d92f5cb4df4153077c116b:  6452 words, 452 sentences, 336 entity mentions,  2 relations
  0e8753f550350e53824358ca3f0f8cfd2f2dc2f7:  5162 words, 238 sentences, 203 entity mentions,  1 relations
  0ecd4fdce541317b38124967b5c2a259d8f43c91:  8680 words, 435 sentences, 482 entity mentions, 49 relations
  0ee850dd6640a96531ac5ad21da5438db04d8b3c:  8855 words, 363 sentences, 618 entity mentions,  2 relations
  0f0a25d3be0d50a134f6f68e6a82bd8a2f668882:  3124 words, 156 sentences, 246 entity mentions,  1 relations
  0f0cab9235bbf185acdd4f9713fd111ca50effca:  4148 words, 221 sentences, 300 entity mentions,  2 relations
  0f2f4edb7599de34c97f680cf356943e57088345:  5678 words, 270 sentences, 291 entity mentions,  3 relations
  0f810eb4777fd05317951ebaa7a3f5835ee84cf4:  4906 words, 257 sentences, 283 entity mentions, 10 relations
  0f84a81f431b18a78bd97f59ed4b9d8eda390970:  5686 words, 222 sentences, 332 entity mentions,  2 relations
  0fa88943665de1176b0fc6de4ed7469b40cdb08c:  5400 words, 252 sentences, 289 entity mentions,  1 relations
  0fbd17a4f791e04bbf8f240f7c48c178900e30a6:  5961 words, 329 sentences, 550 entity mentions,  2 relations
  0ff9ea8409c932baf3c0302c89ede79add1431aa:  5078 words, 260 sentences, 338 entity mentions,  3 relations
  1001c09821f6910b5b8038a3c5993456ba966946:  1428 words, 104 sentences,  92 entity mentions,  1 relations
  100c730003033151c0f78ed1aab23df3e9bd5283:  5659 words, 265 sentences, 447 entity mentions, 12 relations
  10203151008a20b32ce089f7f9d580005c2426cf:  5202 words, 266 sentences, 340 entity mentions,  4 relations
  10232946dd5fe3cdcbce72fe40e75d852561518b: 11221 words, 557 sentences, 639 entity mentions,  4 relations
  1023b20d226bd0af9fdf0fd1847accefbfa5ec84:  4376 words, 245 sentences, 186 entity mentions, 10 relations
  10a36dea0167511b66deca65fdca978aa9afdb11:  2764 words, 124 sentences, 147 entity mentions,  2 relations
  10ebd5c40277ecba4ed45d3dc12f9f1226720523:  4944 words, 255 sentences, 251 entity mentions,  3 relations
  10f62af29c3fc5e2572baddca559ffbfd6be8787:  4549 words, 201 sentences, 381 entity mentions,  3 relations
  10fd174fefd5e36a523805e4c2d2fbf1d12a3ae8:  8587 words, 418 sentences, 311 entity mentions,  4 relations
  1109b663453e78a59e4f66446d71720ac58cec25:  5555 words, 285 sentences, 304 entity mentions,  1 relations
  121e30c48546e671dc5e16c694c5e69b392cf8fb:  1204 words,  75 sentences,  32 entity mentions,  6 relations
  128c727ac06fcc50f1735cb222a441eee6adcab6:  5506 words, 182 sentences, 331 entity mentions, 16 relations
  12db83e66e50152e170d5009c425c925ad2e2c2a:  4159 words, 164 sentences, 248 entity mentions,  3 relations
  12e20e4ea572dbe476fd894c5c9a9930cf250dd2:  3892 words, 176 sentences, 253 entity mentions,  6 relations
  12f008bea798a05ebfa2864ec026999cb375bcd9:  4961 words, 213 sentences, 281 entity mentions, 10 relations
  1329206dbdb0a2b9e23102e1340c17bd2b2adcf5:  4528 words, 189 sentences, 281 entity mentions,  1 relations
  139768cf7714beb9309efba734460f8562c60c78:  2687 words, 118 sentences, 134 entity mentions,  3 relations
  13b58f3108709dbbed5588759bc0496f82a261c4:  3184 words, 191 sentences,  24 entity mentions, 208 relations
  13ea9a2ed134a9e238d33024fba34d3dd6a010e0:  5475 words, 307 sentences, 418 entity mentions,  4 relations
  143a3186c368544ded00a444be33153420baa254:  8108 words, 362 sentences, 471 entity mentions,  4 relations
  14908a18ff831005b6b4fc953ce61e1b4e7b54ee:  5330 words, 260 sentences, 314 entity mentions,  2 relations
  14ad9d060c1e8f0449e697ee189ac346353fbfbc:  5825 words, 297 sentences, 424 entity mentions,  2 relations
  151313065d71b49dbf07289c002c887d7b5a0a6b:  4851 words, 213 sentences, 395 entity mentions, 10 relations
  1518039b5001f1836565215eb047526b3ac7f462:  5703 words, 282 sentences, 381 entity mentions,  2 relations
  15212fa4d30863ea1f9bd9591eee03848278242d:  2776 words, 111 sentences, 216 entity mentions,  5 relations
  15ca7adccf5cd4dc309cdcaa6328f4c429ead337:  5294 words, 242 sentences, 326 entity mentions,  1 relations
  15cc54ed7b1582b2efd71bedf28b23634d82991b:  8845 words, 495 sentences, 682 entity mentions,  2 relations
  15e07c1344e97e46ade2ee0a57017371fa05fe12:  4724 words, 184 sentences, 244 entity mentions,  2 relations
  15e1af79939dbf90790b03d8aa02477783fb1d0f:  6089 words, 350 sentences, 417 entity mentions,  4 relations
  15e81c8d1c21f9e928c72721ac46d458f3341454:  4453 words, 213 sentences, 296 entity mentions,  5 relations
  165ef2b5f86b9b2c68b652391db5ece8c5a0bc7e:  5521 words, 305 sentences, 373 entity mentions,  1 relations
  1672ffebacadf849188668f24bcd377a19ae4051:  7296 words, 387 sentences, 499 entity mentions,  4 relations
  16cd50316e41cbb1d9dfeafeb524b31654cef37a:  7175 words, 331 sentences, 521 entity mentions,  2 relations
  16da4d6503e17f8597602437358461c252244bf7:  4834 words, 223 sentences, 290 entity mentions,  1 relations
  1713d05f9d5861cac4d5ec73151667cb03a42bfc:  5213 words, 289 sentences, 322 entity mentions,  1 relations
  1751668492bac56f0ae2b6410417515ab3215945:  5712 words, 259 sentences, 510 entity mentions,  2 relations
  1768909f779869c0e83d53f6c91764f41c338ab5:  5784 words, 297 sentences, 325 entity mentions,  2 relations
  1822ca8db58b0382b0c64f310840f0f875ea02c0:  6284 words, 331 sentences, 428 entity mentions, 12 relations
  18d62040534012818abb90e37eade5dab6dca716:  2333 words, 112 sentences, 106 entity mentions,  1 relations
  19839ffab4c30db1556d7fd9275d1344a6e3fa46:  4255 words, 190 sentences, 344 entity mentions,  2 relations
  19fd2c2c9d4eecb3cf1befa8ac845a860083e8e7:  4541 words, 220 sentences, 340 entity mentions, 49 relations
  1a0912bb76777469295bb2c059faee907e7f3258:  8302 words, 387 sentences, 616 entity mentions,  6 relations
  1a2599e467e855f845dcbf9282f8bdbd97b85708:  3894 words, 163 sentences, 232 entity mentions,  2 relations
  1a5ea605111eb3403868d4b679315e944beee8c6:  2536 words, 119 sentences, 164 entity mentions,  8 relations
  1a67622ca58aa851afe36ad6c6e78f9fb9d691d2:  6609 words, 378 sentences, 376 entity mentions,  9 relations
  1a6b67622d04df8e245575bf8fb2066fb6729720:  7117 words, 219 sentences, 348 entity mentions,  8 relations
  1abf6491d1b0f6e8af137869a01843931996a562:  4894 words, 232 sentences, 266 entity mentions,  2 relations
  1b29786b7e43dda1a4d6ee93f520a2960b1e3126:  5482 words, 276 sentences, 326 entity mentions,  2 relations
  1b9472907f5b7a1815c98b4562dce6c46dd2cf34:  4960 words, 220 sentences, 379 entity mentions,  4 relations
  1bb5520bbc168e54c553758a76c6d953933bd8eb:  4426 words, 214 sentences, 232 entity mentions,  2 relations
  1bc072002d97808340b312b69427baf2dc9fcb8e:  4607 words, 179 sentences, 388 entity mentions,  5 relations
  1bea6bbdb4aed87fff5390d42934a1d9b0a7bec4:  4748 words, 210 sentences, 206 entity mentions,  6 relations
  1c0e8c3fb143eb5eb5af3026eae7257255fcf814:  6386 words, 294 sentences, 402 entity mentions,  1 relations
  1c7e078611c9df412e6eb3a356f31a0da0c1f99c:  5583 words, 285 sentences, 342 entity mentions,  3 relations
  1cf6bc0866226c1f8e282463adc8b75d92fba9bb:  6042 words, 269 sentences, 406 entity mentions,  1 relations
  1d5d0a41b720bc51fd568cf78f8aa4ec5af4f802:  6601 words, 321 sentences, 421 entity mentions,  1 relations
  1d696a1beb42515ab16f3a9f6f72584a41492a03:  4749 words, 242 sentences, 303 entity mentions,  2 relations
  1d8653d9fca853a8e3727fa7d8f5ec0631cad08f:  6765 words, 298 sentences, 469 entity mentions,  3 relations
  1db9bd18681b96473f3c82b21edc9240b44dc329:  4612 words, 197 sentences, 312 entity mentions,  1 relations
  1e21b925b65303ef0299af65e018ec1e1b9b8d60:  4659 words, 236 sentences, 242 entity mentions,  1 relations
  1e5b9e512c01e244287fe7afb05e03c96d5c1cd0:  4768 words, 214 sentences, 313 entity mentions,  1 relations
  1e7678467b1807777dcd9be557b79328ce9419a8:  7781 words, 355 sentences, 589 entity mentions, 10 relations
  1e7a36c4d4f96b29e3edf51b6eb61f8e16217704:  4927 words, 196 sentences, 380 entity mentions,  8 relations
  1ea6b2f67a3a7f044209aae0d0fd1cb14a1e9e06:  5128 words, 254 sentences, 321 entity mentions,  3 relations
  1f76b7b071f3e65c97d09720f88d6b0ad9f07e8f:  5286 words, 309 sentences, 319 entity mentions,  4 relations
  2019ede61cc0be14859908312e18458a7c79908f:  5238 words, 289 sentences, 226 entity mentions,  2 relations
  207e0ac5301a3c79af862951b70632ed650f74f7:  6328 words, 301 sentences, 353 entity mentions,  2 relations
  20926884a62778a2bf3f9f3c56f30976749ad763: 11333 words, 618 sentences, 495 entity mentions, 10 relations
  20cc4bfdb648fd7947c71252589fc867d4d16933:  7453 words, 387 sentences, 455 entity mentions,  5 relations
  2116b2eaaece4af9c28c32af2728f3d49b792cf9:  7487 words, 340 sentences, 428 entity mentions,  1 relations
  218b80da3eb15ae35267d280dcc4a806d515334a:  4881 words, 191 sentences, 367 entity mentions,  3 relations
  220a0b46840a2a1421c62d3d343397ab087a3f17:  5483 words, 312 sentences, 397 entity mentions,  7 relations
  223319a93dcf3912bbc1e5f949e5ab4d53906e62:  6354 words, 251 sentences, 344 entity mentions,  1 relations
  228db5326a10cd67605ce103a7948207a65feeb1:  5154 words, 276 sentences, 330 entity mentions,  1 relations
  2298490e82ff3fd03a3a28bd9c9f307bd897a753:  4982 words, 255 sentences, 309 entity mentions,  1 relations
  22aab110058ebbd198edb1f1e7b4f69fb13c0613:  9533 words, 424 sentences, 508 entity mentions,  4 relations
  231af7dc01a166cac3b5b01ca05778238f796e41: 11201 words, 643 sentences, 814 entity mentions,  2 relations
  2329a46590b2036d508097143e65c1b77e571e8c:  5539 words, 232 sentences, 325 entity mentions, 10 relations
  2393447b8b0b79046afea1c88a8ed3949338949e:  4888 words, 258 sentences, 316 entity mentions,  2 relations
  23ae5fa0e8d581b184a8749d764d2ded128fd87e:  7103 words, 257 sentences, 566 entity mentions,  4 relations
  23c141141f4f63c061d3cce14c71893959af5721:  5601 words, 248 sentences, 349 entity mentions,  6 relations
  23dcfda130aada27c158c0b5f394cac489c9c795:  5271 words, 233 sentences, 373 entity mentions,  2 relations
  23f5854b38a15c2ae201e751311665f7995b5e10:  8167 words, 453 sentences, 575 entity mentions, 12 relations
  2451db113552afb6d9ad15ef4009ec4133d28f74:  5995 words, 297 sentences, 622 entity mentions,  3 relations
  258ec208f9c55371a67ebac68aa51bd7f7800a7b:  9048 words, 416 sentences, 630 entity mentions, 10 relations
  2594a77a3f0dd5073f79ba620e2f287804cec630:  3007 words, 150 sentences, 200 entity mentions,  1 relations
  25c108a56e4cb757b62911639a40e9caf07f1b4f:  5796 words, 263 sentences, 385 entity mentions,  1 relations
  269c7aeca29dae51dca8208815f1c4c81bd471c2:  5225 words, 225 sentences, 324 entity mentions,  2 relations
  26c8d040bef85ad6dde55a8f71af936fb38356ad:  4625 words, 240 sentences, 253 entity mentions,  1 relations
  26fe009b958e8728382d9d764bd7153632f0b869:  2523 words,  96 sentences, 221 entity mentions,  6 relations
  2742a33946e20dd33140b8d6e80d5fd04fced1b2:  6842 words, 320 sentences, 397 entity mentions,  1 relations
  2788a2461ed0067e2f7aaa63c449a24a237ec341:  5305 words, 290 sentences, 485 entity mentions,  6 relations
  27c761258329eddb90b64d52679ff190cb4527b5:  6582 words, 317 sentences, 624 entity mentions, 10 relations
  27e4b65121d3c88643d86dc91a9bdafdf223b988:  6016 words, 242 sentences, 307 entity mentions,  6 relations
  28703eef8fe505e8bd592ced3ce52a597097b031:  5693 words, 236 sentences, 356 entity mentions,  1 relations
  289e91654f6da968d625481ef21f52892052d4fc:  5240 words, 252 sentences, 417 entity mentions,  5 relations
  28eceb438da0b841bbd3d02684dbfa263838ed60:  6087 words, 387 sentences, 291 entity mentions, 14 relations
  29c19276b8fff231717c3e342cb24144d2b77726:  2656 words, 142 sentences, 223 entity mentions,  2 relations
  2a69ddbafb23c63e5e22401664bea229daaeb7d6:  5547 words, 291 sentences, 474 entity mentions,  3 relations
  2a94c84383ee3de5e6211d43d16e7de387f68878:  7747 words, 366 sentences, 513 entity mentions,  1 relations
  2ad7cef781f98fd66101fa4a78e012369d064830:  5428 words, 264 sentences, 396 entity mentions,  1 relations
  2aec8d465e9a74c27f956ed1136f3e8a3ba0a833:  9075 words, 424 sentences, 848 entity mentions,  3 relations
  2b0d7e51efd004fe3847f54863540c79312f3546:  5970 words, 341 sentences, 403 entity mentions,  2 relations
  2bb9f0768fac9622a0be446df69daf75a954d5ac:  4841 words, 233 sentences, 361 entity mentions,  2 relations
  2c03df8b48bf3fa39054345bafabfeff15bfd11d:  8824 words, 461 sentences, 641 entity mentions,  4 relations
  2c761495cf3dd320e229586f80f868be12360d4e:  6762 words, 352 sentences, 527 entity mentions,  3 relations
  2cb8497f9214735ffd1bd57db645794459b8ff41:  4616 words, 220 sentences, 236 entity mentions,  5 relations
  2cf6a8389135f682b0cb727a07f4e77c097d5434:  4358 words, 254 sentences, 209 entity mentions,  1 relations
  2d294bde112b892068636f3a48300b3c033d98da:  6338 words, 319 sentences, 518 entity mentions,  1 relations
  2d2a22f1f9eae9188f3d43254daa2d5b7f3a2470: 11305 words, 538 sentences, 465 entity mentions,  2 relations
  2d5dba33c706d907733f15e7b57fde9909894e29:  5255 words, 341 sentences, 267 entity mentions,  2 relations
  2d83dbf4c8eabc6bdef3326c4a30d5f33ffc944e:  3748 words, 201 sentences, 255 entity mentions,  2 relations
  2d876ed1dd2c58058d7197b734a8e4d349b8f231:  4126 words, 167 sentences, 369 entity mentions,  1 relations
  2dad7e558a1e2982d0d42042021f4cde4af04abf:  6173 words, 305 sentences, 425 entity mentions,  2 relations
  2dc32f9e0a7870b272a2a51082202a9fa52fb854:  4792 words, 239 sentences, 402 entity mentions,  3 relations
  2e10643c3759f97b673ff8c297778c0b6c20032b:  4054 words, 217 sentences, 222 entity mentions,  4 relations
  2e4c06dd00c4c09ad5ac6be883cc66c19d88ea79:  5805 words, 241 sentences, 507 entity mentions,  3 relations
  2e57bccb74bcb46cbc5b4225b62679023ed1f9da:  6753 words, 415 sentences, 370 entity mentions,  6 relations
  2e942d19333651bf6012374ea9e78d6937fd33ac:  3316 words, 150 sentences, 276 entity mentions,  4 relations
  2ebfc12285f5d426e0d0e8d2befa1af27f99a56e:  4989 words, 223 sentences, 307 entity mentions,  1 relations
  2f0c30d6970da9ee9cf957350d9fa1025a1becb4:  6052 words, 368 sentences, 486 entity mentions,  1 relations
  2f92b10acf7c405e55c74c1043dabd9ded1b1800:  6119 words, 276 sentences, 327 entity mentions,  2 relations
  2f95ba08a8f5a97d1a767f3a2490c686ee8f762d:  2108 words,  86 sentences, 169 entity mentions,  6 relations
  30180f66d5b4b7c0367e4b43e2b55367b72d6d2a:  6257 words, 262 sentences, 464 entity mentions,  1 relations
  302207c149bdf7beb6e46e4d4afbd2fa9ac02c64:  5314 words, 268 sentences, 332 entity mentions,  1 relations
  303065c44cf847849d04da16b8b1d9a120cef73a:  4824 words, 228 sentences, 260 entity mentions,  1 relations
  303fef411f235e6d1125a40af1e93224f498a4d5:  6863 words, 349 sentences, 426 entity mentions, 12 relations
  309acdd149f5f0ea12acb103b36bb59e6e631671:  5523 words, 204 sentences, 315 entity mentions,  1 relations
  3112d2d95d66b3d54a72c55072647aab937e410e:  7194 words, 323 sentences, 368 entity mentions,  6 relations
  31ae4873da19b1e28eca8787a17f49bba08627e5:  5775 words, 307 sentences, 450 entity mentions,  1 relations
  31e5dab321066712cdc8b30943f7950066840ee1:  4811 words, 217 sentences, 313 entity mentions,  1 relations
  325093f2c5b33d7507c10aa422e96aa5b10a33f1:  7144 words, 285 sentences, 447 entity mentions,  1 relations
  32a93598e8a338496f04a0ace81b0768c2ef059d:  4391 words, 182 sentences, 348 entity mentions,  2 relations
  32b36a9837da7eb19fb9e6bd85d48d38a81ff75f:  4773 words, 216 sentences, 298 entity mentions,  5 relations
  33998aff64ce51df8dee45989cdca4b6b1329ec4:  5590 words, 214 sentences, 324 entity mentions,  1 relations
  33a8d0a35390fde736744d4a0dd20dff7961c777:  6741 words, 295 sentences, 425 entity mentions,  3 relations
  34273979fd2a62fd7b49ee6d14a925864ff94e74:  6786 words, 379 sentences, 335 entity mentions,  1 relations
  346578304ff943b97b3efb1171ecd902cb4f6081:  5183 words, 273 sentences, 306 entity mentions,  1 relations
  34a6762ed8e92612ba4fdf02ee95d2ee0d587908:  2580 words, 123 sentences, 125 entity mentions,  4 relations
  34cf90fcbf83025666c5c86ec30ac58b632b27b0:  6085 words, 296 sentences, 431 entity mentions,  2 relations
  34f63959ea4a13a05948274a1558c6854a051150:  4798 words, 241 sentences, 436 entity mentions,  8 relations
  3526555fa0178c101ee9896252c818f9e03532a5:  3191 words, 204 sentences, 210 entity mentions,  1 relations
  35502af359aa60ae8047df172e29503cfb29c3f9:  7522 words, 320 sentences, 428 entity mentions,  1 relations
  357776cd7ee889af954f0dfdbaee71477c09ac18:  7204 words, 320 sentences, 594 entity mentions,  2 relations
  3580d8a5e7584e98d547ebfed900749d347f6714:  5029 words, 254 sentences, 251 entity mentions,  4 relations
  35c1668dc64d24a28c6041978e5fcca754eb2f4b:  6853 words, 340 sentences, 428 entity mentions,  1 relations
  35ff11e0a5e465c810a30b022b26a9d577a434ce:  5604 words, 228 sentences, 262 entity mentions,  1 relations
  3600aac8edc5bc015e69f2ffa893c21b6d4e1057:  3583 words, 194 sentences, 289 entity mentions,  1 relations
  360cfa09b2f7c8e10b1831d899c5a51aefa1883e:  7782 words, 352 sentences, 530 entity mentions,  2 relations
  364da079f91a6cb385997be990af06e9ddf6e888:  6190 words, 245 sentences, 399 entity mentions,  1 relations
  3652c2d20f198dc39ad159eba55d08341c56d628:  8208 words, 384 sentences, 315 entity mentions,  3 relations
  36911f5fc4f4eb1221f832114946de4773cf78e6:  1618 words,  79 sentences, 100 entity mentions,  1 relations
  36973330ae638571484e1f68aaf455e3e6f18ae9:  6377 words, 263 sentences, 445 entity mentions,  1 relations
  36a03f648b40d209ce361550dbe1c823ddb715b5:  5802 words, 285 sentences, 355 entity mentions,  6 relations
  36b1ba4287c4884df27dd684c4c7f66f32e943db:  4039 words, 165 sentences, 315 entity mentions, 16 relations
  36c3972569a6949ecca90bfa6f8e99883e092845:  1868 words,  82 sentences, 128 entity mentions,  1 relations
  3729a9a140aa13b3b26210d333fd19659fc21471:  8077 words, 375 sentences, 535 entity mentions,  1 relations
  372bc106c61e7eb004835e85bbfee997409f176a:  6139 words, 323 sentences, 374 entity mentions,  6 relations
